1	218,219,220
2	218,219,220
3	200,202,203,204,205,206,207,208,218,219,220
4	202,203,204,205,206,207,208
5	203,204,205,206,207,208,209,213,216
6	204,205,206,207,208,209,210
7	205,206,207,208,209,210,211
8	202,203,204,205,206,207,208
9	201
10	203,215,217
11	204,205,206,207,208,209,210
12	203,204,205,206,207,208,209,212,216,218
13	202,203,204,205,206,207,208
14	201,202,203,204,205,206,207,211,218,219,220
15	200,201,202,203,204,205,206,211
16	211
17	211,212,213,214
18	211,212,213,214
19	200,202,204,206,208,211,212,213,214
20	211,212,213,214,215
21	211,212,213,214,215
22	211,212,213,214,215,218,219,220
23	203,204,211,212,213,214,215,216,217,218,219,220
24	203,204,211,212,213,214,215,216
25	211,212,213,214,215,216
26	209,212,213,214,215,216
27	209,212,213,214,215,216
28	206,207,209,212,213,214,215,216
29	201,206,207,209,215,216,217,218,219,220
30	201,202,209,215,216
31	201,202,203,209,215,216
32	202,203,209,216
33	203,216
34	216
37	203,205,207,209,211,213,215,217
41	207,209,211,213,216,218,219,220
44	202,204,206,208,210
45	207,211,213
46	210,212,214,216,218
48	207,209,211,213
